"entity_id","en","cs_cz","da_dk","ru_il","fr_ca","sv_se","fr_be","fr_ch","he_il","es_us","ko_kr","lt_lt","en_ca","pl_pl","de_at","en_gb","sv_fi","it_it","de_de","en_au","fi_fi","el_gr","pt_pt","ar_il","tr_tr","es_es","nl_be","fr_fr","hu_hu","nl_nl"
"ba5941c-ba5941c_e1d02bf-c","<p>Very easy</p>","Velmi snadné","Meget nemt","Очень легко","Très facile","Väldigt lätt","Très facile","Très facile","קלה מאוד","Muy fácil","매우쉬움","Labai paprastas","Very easy","Bardzo łatwe","Sehr einfach","Very easy","Väldigt lätt","Molto facile","Sehr einfach","Very easy","Erittäin helppoa","Πολύ εύκολος","Muito fácil","سهل للغاية","Çok kolay","Muy fácil","Heel eenvoudig","Très facile","Nagyon egyszerű","Heel gemakkelijk"
"ba5941c-ba5941c_h85fbd5-c","<p>Easy</p>","Snadné","Nemt","Легко","Facile","Lätt","Facile","Facile","קלה","Fácil","쉬움","Paprastas","Easy","Łatwe","Einfach","Easy","Lätt","Facile","Einfach","Easy","Helppoa","Εύκολος","Fácil","سهل","Kolay","Fácil","Eenvoudig","Facile","Egyszerű","Eenvoudig"
"ba5941c-ba5941c_ia66305-c","<p>Neither easy nor difficult</p>","Ani snadné, ani obtížné","Hverken nemt eller svært","Ни легко, ни сложно","Ni facile ni difficile","Varken lätt eller svårt","Ni facile ni difficile","Ni facile ni difficile","לא קלה ולא קשה","Ni fácil ni difícil","쉽지도않고어렵지도않음","Nežinau","Neither easy nor difficult","Ani łatwe, ani trudne","Weder einfach noch schwierig","Neither easy nor difficult","Varken lätt eller svårt","Né facile, né difficile","Weder einfach noch schwierig","Neither easy nor difficult","Ei helppoa eikä vaikeaa","Ούτε εύκολος ούτε δύσκολος","Nem fácil nem difícil","لا سهل ولا صعب","Ne kolay ne zor","Ni fácil ni difícil","Noch eenvoudig, noch moeilijk","Ni facile ni difficile","Sem egyszerű, sem bonyolult","Noch eenvoudig, noch moeilijk"
"ba5941c-ba5941c_w36195a-c","<p>Difficult</p>","Obtížné","Svært","Сложно","Difficile","Svårt","Difficile","Difficile","קשה","Difícil","어려움","Sudėtingas","Difficult","Trudne","Schwierig","Difficult","Svårt","Difficile","Schwierig","Difficult","Vaikeaa","Δύσκολος","Difícil","صعب","Zor","Difícil","Moeilijk","Difficile","Bonyolult","Moeilijk"
"ba5941c-ba5941c_s6c4c78-c","<p>Very difficult</p>","Velmi obtížné","Meget svært","Очень сложно","Très difficile","Väldigt svårt","Très difficile","Très difficile","קשה מאוד","Muy difícil","매우어려움","Labai sudėtingas","Very difficult","Bardzo trudne","Sehr schwierig","Very difficult","Väldigt svårt","Molto difficile","Sehr schwierig","Very difficult","Erittäin vaikeaa","Πολύ δύσκολος","Muito difícil","صعب للغاية","Çok zor","Muy difícil","Heel moeilijk","Très difficile","Nagyon bonyolult","Heel moeilijk"
"i44a54d-q","I am satisfied with the home nurse service","Se službou domácí zdravotní sestry jsem spokojen(a).","Jeg er tilfreds med hjemmesygeplejetjenesten.","Я доволен услугами патронажной медсестры.","Je suis satisfait(e) du service d’infirmières à domicile.","Jag är nöjd med hemsjukskötersketjänsten.","Je suis satisfait(e) du service de soins infirmiers à domicile.c.","Je suis satisfait(e) du service de soins infirmiers à domicile.","אני מרוצה משירות ביקור האחות בבית.","Estoy satisfecho con el servicio de enfermería domiciliaria.","가정간호사서비스에만족한다.","Esu patenkintas (-a) namų slaugytojo (-os) paslaugomis.","I am satisfied with the home nurse service.","Jestem zadowolony(-a) z usługi domowej wizyty pielęgniarskiej.","Ich bin mit dem Besuchsservice durch eine Pflegekraft zufrieden.","I am satisfied with the home nurse service","Jag är nöjd med hemsjukskötartjänsten.","Sono soddisfatto/a del servizio di assistenza infermieristica domiciliare.","ch bin mit dem Besuchsservice durch eine Pflegekraft zufrieden.","I am satisfied with the home nurse service.","Olen tyytyväinen kotisairaanhoitajapalveluun.","Είμαι ικανοποιημένος/η με την υπηρεσία κατ’ οίκον νοσηλεύτριας.","Estou satisfeito com o serviço de enfermagem ao domicílio.","أنا راضٍ عن خدمة زيارة الممرضة المنزلية.","Evde hemşire hizmetinden memnun kaldım.","Estoy muy satisfecho con el servicio de enfermería a domicilio.","Ik ben tevreden over de diensten van de thuisverpleegkundige.","Je suis satisfait(e) du service de soins infirmiers à domicile.","Elégedett vagyok az otthoni ápolói szolgálattal.","Ik ben tevreden over de thuisverpleegkundige."
"i44a54d-i44a54d_t4ad9b2-c","<p>Strongly Agree</p>","Rozhodně souhlasím","Meget enig","Полностью согласен","Tout à fait d’accord","Instämmer helt","Tout à fait d’accord","Tout à fait d’accord","מסכים מאוד","Absolutamente de acuerdo","매우동의함","Visiškai sutinku","Strongly Agree","Zdecydowanie się zgadzam","Stimme vollkommen zu","Strongly Agree","Håller starkt med","Pienamente d’accordo","Stimme vollkommen zu","Strongly Agree","Täysin samaa mieltä","Συμφωνώ ιδιαιτέρως","Concordo totalmente","موافق بشدة","Kesinlikle katılıyorum","Totalmente de acuerdo","Volledig eens","Tout à fait d’accord","Kifejezetten egyetértek","Helemaal mee eens"
"i44a54d-i44a54d_rd725f8-c","<p>Agree</p>","Souhlasím","Enig","Согласен","D’accord","Instämmer","D’accord","D’accord","מסכים","De acuerdo","동의함","Sutinku","Agree","Zgadzam się","Stimme zu","Agree","Håller med","D’accordo","Stimme zu","Agree","Samaa mieltä","Συμφωνώ","Concordo","موافق","Katılıyorum","De acuerdo","Mee eens","D’accord","Egyetértek","Mee eens"
"i44a54d-i44a54d_n693123-c","<p>Neutral</p>","Neutrální, ani tak, ani tak","Neutral","Нейтральная позиция","Neutre","Neutral","Neutre","Ni d’accord, ni pas d’accord","ניטרלי","Neutral","중립적임","Nežinau","Neutral","Nie mam zdania","Neutral","Neutral","Neutral","Neutrale","Neutral","Neutral","Ei samaa eikä eri mieltä","Ουδέτερο","Neutro","حيادي","Kararsızım","Ni de acuerdo ni en desacuerdo","Neutraal","Neutre","Semleges","Neutraal"
"i44a54d-i44a54d_u98a436-c","<p>Disagree</p>","Nesouhlasím","Uenig","Не согласен","En désaccord","Instämmer inte","En désaccord","Pas d’accord","לא מסכים","En desacuerdo","동의하지않음","Nesutinku","Disagree","Nie zgadzam się","Stimme nicht zu","Disagree","Håller inte med","In disaccordo","Stimme nicht zu","Disagree","Eri mieltä","Διαφωνώ","Discordo","غير موافق","Katılmıyorum","En desacuerdo","Mee oneens","Pas d’accord","Nem értek egyet","Niet mee eens"
"i44a54d-i44a54d_l5e1342-c","<p>Strongly Disagree</p>","Rozhodně nesouhlasím","Meget uenig","Совершенно не согласен","Pas du tout d’accord","Instämmer inte alls","Totalement en désaccord","Pas du tout d’accord","לא מסכים כלל","Absolutamente en desacuerdo","전혀동의하지않음","Visiškai nesutinku","Strongly Disagree","Zdecydowanie się nie zgadzam","Stimme überhaupt nicht zu","Strongly Disagree","Håller verkligen inte med","Fortemente in disaccordo","Stimme überhaupt nicht zu","Strongly Disagree","Täysin eri mieltä","Διαφωνώ πολύ","Discordo totalmente","غير موافق بشدة","Kesinlikle katılmıyorum","Totalmente en desacuerdo","Volledig oneens","Pas du tout d’accord","Kifejezetten nem értek egyet","Helemaal niet mee eens"
"d3d34cf-q","I feel ______________ interacting with study personnel over a video call using the mobile app","Interakce se zkoušejícímpersonálem prostřednictvím videohovoru pomocí mobilní aplikace je pro mě ______________.","Jeg føler mig ______________ under samarbejdet med forsøgspersonalet med videoopkald ved brug af mobilappen.","Мои ощущения от взаимодействия с исследовательским персоналом во время видеозвонка с помощью мобильного приложения:","Je me sens ______________ d’interagir avec le personnel de l’étude lors d’un appel vidéo à l’aide de l’application mobile.","Jag känner mig ______________ över att interagera med studiepersonal via ett videosamtal med mobilappen.","Je me sens ______________ lorsque j’interagis avec le personnel de l’étude par appel vidéo en utilisant l’application mobile.","Je me sens ______________ pour interagir avec le personnel de l’étude lors d’un appel vidéo à l’aide de l’application mobile.","אני מרגיש ______________ באינטראקציה עם אנשי המחקר באמצעות שיחת וידאו הנערכת באפליקציה לנייד.","Me siento ______________ al interactuar con el personal del estudio por videollamada con la aplicación móvil.","나는모바일앱을사용하여화상통화로임상시험담당자와상호작용하는것이______________. 느껴진다. ","Jaučiuosi ______________ bendraudamas (-a) su tyrimo darbuotojais vaizdo skambučiais pasitelkus mobiliąją programėlę.","I feel ______________ interacting with study personnel over a video call using the mobile app.","Czuję się ______________ podczas rozmów wideo z personelem badania przy użyciu aplikacji mobilnej.","Ich empfinde es als ______________, per Videokonferenz über die mobile App mit den Studienmitarbeitern zu kommunizieren.","I feel ______________ interacting with the study team over a video call using the mobile app.","Jag känner mig ______________ över att interagera med studiepersonal via ett videosamtal med mobilappen.","Mi sento ______________ a interagire con il personale dello studio in videochiamata usando l’app mobile.","Ich empfinde es als ______________, per Videokonferenz über die mobile App mit den Studienmitarbeitern zu kommunizieren.","I feel ______________ interacting with study personnel over a video call using the mobile app.","Minusta kanssakäyminen tutkimushenkilökunnan kanssa videopuheluiden kautta tai mobiilisovellusta käyttäen tuntuu ______________.","Νιώθω ______________ όταν αλληλεπιδρώ με το προσωπικό της μελέτης με βιντεοκλήση μέσω της εφαρμογής για κινητά.","Sinto-me ______________ a interagir com o pessoal do estudo através de videochamada usando a app móvel.","أشعر بأنني ______________ أثناء التفاعل مع موظفي الدراسة عبر مكالمة فيديو باستخدام تطبيق الهاتف المحمول.","Mobil uygulamayı kullanarak bir görüntülü görüşme yoluyla çalışma personeliyle etkileşim kurduğumda ______________ hissediyorum.","Me siento ______________ interactuando con el personal por videollamada usando la aplicación móvil.","Ik voel me ______________ tijdens de interactie met het studiepersoneel via een videogesprek met de mobiele app.","Je me sens ______________ pour interagir avec le personnel de l’étude lors d’un appel vidéo à l’aide de l’application mobile.","Úgy érzem, hogy ______________ az interakció a vizsgálati személyzettel videohíváson keresztül, a mobilalkalmazás használatával.","Ik voel me ______________ tijdens de interactie met onderzoekspersoneel via een videogesprek met de app."
"d3d34cf-d3d34cf_hf123a4-c","<p>Very comfortable</p>","velmipříjemná","Meget tilpas","Очень удобно","Très à l’aise","Väldigt bekväm","Très à l’aise","Très à l’aise","מאוד בנוח","Muy cómodo","매우편하게","Labai patogiai ","Very comfortable","Bardzo komfortowo","Sehr angenehm","Very comfortable","Väldigt bekväm","Molto a mio agio","Sehr angenehm","Very comfortable","Erittäin luontevalta","Πολύ άνετα","Muito confortável","مرتاح للغاية","Çok rahat","muy cómodo","Erg comfortabel","Très à l’aise","Nagyon kényelmes","Erg comfortabel"
"d3d34cf-d3d34cf_vb0604f-c","<p>Comfortable</p>","příjemná","Tilpas","Удобно","À l’aise","Bekväm","À l’aise","À l’aise","בנוח","Cómodo","편하게","Patogiai","Comfortable","Komfortowo","Angenehm","Comfortable","Bekväm","A mio agio","Angenehm","Comfortable","Luontevalta","Άνετα","Confortável","مرتاح","Rahat","cómodo","Comfortabel","À l’aise","Kényelmes","Comfortabel"
"d3d34cf-d3d34cf_s66522a-c","<p>Neither comfortable nor uncomfortable</p>","ani příjemná, ani nepříjemná","Hverken tilpas eller utilpas","Ни то, ни другое","Ni à l’aise ni mal à l’aise","Varken bekväm eller obekväm","Ni à l’aise ni pas à l’aise","Ni à l’aise ni pas à l’aise","ניטרלי","Ni cómodo ni incómodo","편하지도않고불편하지도않게","Nežinau","Neither comfortable nor uncomfortable","Ani komfortowo, ani niekomfortowo","Weder angenehm noch unangenehm","Neither comfortable nor uncomfortable","Varken bekväm eller obekväm","Né a mio agio né a disagio","Weder angenehm noch unangenehm","Neither comfortable nor uncomfortable","Ei luontevalta tai epäluontevalta","Ούτε άνετα ούτε άβολα","Nem confortável nem desconfortável","لا مرتاح ولا غير مرتاح","Ne rahat ne rahatsız","ni cómodo ni incómodo","Noch comfortabel, noch ongemakkelijk","Ni à l’aise ni pas à l’aise","Sem kényelmes, sem kényelmetlen","Noch comfortabel, noch ongemakkelijk"
"d3d34cf-d3d34cf_sc8ef97-c","<p>Uncomfortable</p>","nepříjemná","Utilpas","Неудобно","Mal à l’aise","Obekväm","Mal à l’aise","Pas très à l’aise","לא בנוח","Incómodo","불편하게","Nepatogiai","Uncomfortable","Niekomfortowo","Unangenehm","Uncomfortable","Obekväm","A disagio","Unangenehm","Uncomfortable","Epäluontevalta","Άβολα","Desconfortável","غير مرتاح","Rahatsız","incómodo","Ongemakkelijk","Pas très à l’aise","Kényelmetlen","Ongemakkelijk"
"d3d34cf-d3d34cf_m78042c-c","<p>Very uncomfortable</p>","velmi nepříjemná","Meget utilpas","Очень неудобно","Très mal à l’aise","Väldigt obekväm","Très mal à l’aise","Pas du tout à l’aise","מאוד לא בנוח","Muy incómodo","매우불편하게","Labai nepatogiai ","Very uncomfortable","Bardzo niekomfortowo","Sehr unangenehm","Very uncomfortable","Väldigt obekväm","Molto a disagio","Sehr unangenehm","Very uncomfortable","Erittäin epäluontevalta","Πολύ άβολα","Muito desconfortável","غير مرتاح للغاية","Çok rahatsız","muy incómodo","Erg ongemakkelijk","Pas du tout à l’aise","Nagyon kényelmetlen","Erg ongemakkelijk"
"v3c1196-q","The process of receiving the study medication directly to my home is simple and convenient","Proces přijímání hodnocených přípravkůpřímo domů je jednoduchý a pohodlný.","Processen med at modtage forsøgsmedicinen direkte på min bopæl er nem og praktisk.","Процесс получения исследуемого препарата на дом простой и удобный.","Le processus de réception du médicament de l’étude directement à mon domicile est simple et pratique.","Processen för att få studieläkemedel levererat hem är enkel och bekväm.","La procédure de réception du médicament à l’étude directement à mon domicile est simple et pratique.","Le processus permettant de recevoir le médicament à l’étude directement à mon domicile est simple et pratique.","תהליך קבלת תרופת המחקר ישירות לביתי הוא פשוט ונוח.","El proceso de recepción del medicamento del estudio directamente en mi domicilio es sencillo y conveniente.","시험약을자택으로직접수령하는과정은간단하고편리하다.","Tyrimo vaistų gavimo tiesiai į namus procesas yra paprastas ir patogus.","The process of receiving the study medication directly to my home is simple and convenient.","Proces otrzymywania badanego leku bezpośrednio do domu jest prosty i wygodny.","Die direkte Lieferung der Studienmedikamente zu mir nach Hause ist einfach und vorteilhaft.","The process of receiving the study medication directly to my home is simple and convenient.","Processen för att få studieläkemedel levererat hem är enkel och bekväm.","La procedura di ricevimento del farmaco dello studio direttamente presso il mio domicilio è semplice e comoda.","Die direkte Lieferung der Studienmedikamente zu mir nach Hause ist einfach und vorteilhaft.","The process of receiving the study medication directly to my home is simple and convenient.","Tutkimuslääkkeen saaminen suoraan kotiini on helppoa ja vaivatonta.","Η διαδικασία λήψης του φαρμάκου της μελέτης απευθείας στο σπίτι μου είναι απλή και άνετη.","O processo de receber a medicação do estudo diretamente para minha casa é simples e conveniente.","عملیة توصیل دواء الدراسة مباشرةً إلى منزلي بسیطة ومریحة.","Çalışma ilacınıdoğrudan evimde alma süreci basit ve yararlıydı.","El proceso de recibir la medicación del ensayo directamente en mi casa es sencillo y cómodo.","Het proces om de studiemedicatie rechtstreeks bij mij thuis te ontvangen, is eenvoudig en handig.","Le processus permettant de recevoir le médicament de l’étude directement à mon domicile est simple et pratique.","A vizsgálati készítmény közvetlenül az otthonomba történő érkezésének folyamata egyszerű és kényelmes.","Het proces om de onderzoeksmedicatie rechtstreeks bij mij thuis te ontvangen, is eenvoudig en handig."
"v3c1196-v3c1196_k89bd27-c","<p>Strongly Agree</p>","Rozhodně souhlasím","Meget enig","Полностью согласен","Tout à fait d’accord","Instämmer helt","Tout à fait d’accord","Tout à fait d’accord","מסכים מאוד","Absolutamente de acuerdo","매우동의함","Visiškai sutinku","Strongly Agree","Zdecydowanie się zgadzam","Stimme vollkommen zu","Strongly Agree","Håller starkt med","Pienamente d’accordo","Stimme vollkommen zu","Strongly Agree","Täysin samaa mieltä","Συμφωνώ ιδιαιτέρως","Concordo totalmente","موافق بشدة","Kesinlikle katılıyorum","Totalmente de acuerdo","Volledig eens","Tout à fait d’accord","Kifejezetten egyetértek","Helemaal mee eens"
"v3c1196-v3c1196_t2f3d69-c","<p>Agree</p>","Souhlasím","Enig","Согласен","D’accord","Instämmer","D’accord","D’accord","מסכים","De acuerdo","동의함","Sutinku","Agree","Zgadzam się","Stimme zu","Agree","Håller med","D’accordo","Stimme zu","Agree","Samaa mieltä","Συμφωνώ","Concordo","موافق","Katılıyorum","De acuerdo","Mee eens","D’accord","Egyetértek","Mee eens"
"v3c1196-v3c1196_w42024a-c","<p>Neutral</p>","Neutrální, ani tak, ani tak","Neutral","Нейтральная позиция","Neutre","Neutral","Neutre","Ni d’accord, ni pas d’accord","ניטרלי","Neutral","중립적임","Nežinau","Neutral","Nie mam zdania","Neutral","Neutral","Neutral","Neutrale","Neutral","Neutral","Ei samaa eikä eri mieltä","Ουδέτερο","Neutro","حيادي","Kararsızım","Ni de acuerdo ni en desacuerdo","Neutraal","Neutre","Semleges","Neutraal"
"v3c1196-v3c1196_ia2e1c7-c","<p>Disagree</p>","Nesouhlasím","Uenig","Не согласен","En désaccord","Instämmer inte","En désaccord","Pas d’accord","לא מסכים","En desacuerdo","동의하지않음","Nesutinku","Disagree","Nie zgadzam się","Stimme nicht zu","Disagree","Håller inte med","In disaccordo","Stimme nicht zu","Disagree","Eri mieltä","Διαφωνώ","Discordo","غير موافق","Katılmıyorum","En desacuerdo","Mee oneens","Pas d’accord","Nem értek egyet","Niet mee eens"
"v3c1196-v3c1196_i906680-c","<p>Strongly Disagree</p>","Rozhodně nesouhlasím","Meget uenig","Совершенно не согласен","Pas du tout d’accord","Instämmer inte alls","Totalement en désaccord","Pas du tout d’accord","לא מסכים כלל","Absolutamente en desacuerdo","전혀동의하지않음","Visiškai nesutinku","Strongly Disagree","Zdecydowanie się nie zgadzam","Stimme überhaupt nicht zu","Strongly Disagree","Håller verkligen inte med","Fortemente in disaccordo","Stimme überhaupt nicht zu","Strongly Disagree","Täysin eri mieltä","Διαφωνώ πολύ","Discordo totalmente","غير موافق بشدة","Kesinlikle katılmıyorum","Totalmente en desacuerdo","Volledig oneens","Pas du tout d’accord","Kifejezetten nem értek egyet","Helemaal niet mee eens"
"v3c1196-v3c1196_f77f3e1-c","<p>Not Applicable</p>","Nevztahuje se","Ikke relevant","Затрудняюсь ответить","Non applicable","Ej tillämpligt","Non applicable","Non applicable","לא ישים","No corresponde","해당 없음","Netaikoma","Not Applicable","Nie dotyczy","Nicht zutreffend","Not applicable","Ej tillämpligt","Non applicabile","Nicht zutreffend","Not applicable","Ei oleellinen","Δεν ισχύει","Não aplicável","لا ينطبق","Geçerli Değil","No corresponde","Niet van toepasssing","Non applicable","Nem alkalmazható","Niet van toepasssing"
"r312a2f-q","Did you experience any of the following technical issues with the Linkt mobile app:","Vyskytl se u mobilní aplikace Linkt některý z následujících technických problémů?","Oplevede du nogenaf de følgende tekniske problemer med Linkt-mobilappen:","Возникали ли у Вас следующие технические проблемы при использовании мобильного приложения Linkt:","Avez-vous rencontré l’un des problèmes techniques suivants avec l’application mobile Linkt:","Upplevde du något av följande tekniska problem med Linkt-mobilappen:","Avez-vous rencontré l’un des problèmes techniques suivants avec l’application mobile Linkt:","Avez-vous rencontré l’un des problèmes techniques suivants avec l’application mobile Linkt?","האם נתקלת באחת מהבעיות הטכניות הבאות באפליקציה לניידים Linkt:","¿Tuvo alguno de los siguientes problemas técnicos con la aplicación móvil Linkt?:","Linkt 모바일앱과관련해다음과같은기술적문제가발생한적이있습니까? ","Ar naudodamiesi mobiliaja „Linkt“ programėle susidūrėte su kokiomis nors techninėmis problemomis, kaip, pavyzdžiui, šiomis:","Did you experience any of the following technical issues with the Linkt mobile app:","Czy doświadczył(a) Pan/Pani któregokolwiek z wymienionych problemów technicznych z aplikacją mobilną Linkt:","Hatten Sie eines der folgenden technischen Probleme mit der Linkt-App?","Did you experience any of the following technical issues with the Linkt mobile app:","Upplevde du något av följande tekniska problem med Linkt-mobilappen:","Ha riscontrato uno qualsiasi dei seguenti problemi tecnici con l’app mobile Linkt:","Hatten Sie eines der folgenden technischen Probleme mit der Linkt-App?","Did you experience any of the following technical issues with the Linkt mobile app?","Oliko sinulla mitään seuraavista teknisistä ongelmista Linkt-mobiilisovelluksen kanssa:","Αντιμετωπίσατε κάποιο από τα παρακάτω τεχνικά ζητήματα με την εφαρμογή Linkt για κινητά:","Teve qualquer um dos seguintes problemas técnicos com a app móvel Linkt:","هل واجهت أيًّا من المشكلات الفنية التالية مع استخدامك لتطبيق Linkt على الهاتف المحمول:","Linkt mobil uygulamasını kullanırken aşağıdaki teknik sorunlardan herhangibirini yaşadınız mı?","¿Experimentó alguno de los siguientes problemas técnicos asociados a la aplicación móvil Linkt?","Hebt u één van de volgende technische problemen ondervonden met de mobiele Linkt-app:","Avez-vous rencontré l’un des problèmes techniques suivants avec l’application mobile Linkt?","Tapasztalta-e az alábbi technikai problémák bármelyikét a Linkt mobilalkalmazással kapcsolatban:","Heb je één van de volgende technische problemen ondervonden met de Linkt-app:"
"r312a2f-r312a2f_fca4c23-c","<p>Audio issues</p>","problémy se zvukem","Lydproblemer","Проблемы со звуком","Problèmes audio","Ljudproblem","Problèmes audio","Problèmes audios","בעיות שמע","Problemas de audio","오디오문제","garso problemomis;","Audio issues","Problemy z dźwiękiem","Probleme mit dem Audio","Audio issues","Ljudproblem","Problemi audio","Probleme mit dem Audio","Audio issues","Ääniongelmia","Ζητήματα ήχου","Problemas de áudio","مشاكل الصوت","Ses sorunları","Problemas de audio.","Audioproblemen","Problèmes audios","Audio problémák","Geluidsproblemen"
"r312a2f-r312a2f_ze978cc-c","<p>Video issues</p>","problémy s videem","Videoproblemer","Проблемы с видео","Problèmes vidéo","Videoproblem","Problèmes vidéo","Problèmes vidéo","בעיות וידאו","Problemas de video","비디오문제","vaizdo problemomis;","Video issues","Problemy z wideo","Probleme mit dem Video","Video issues","Videoproblem","Problemi video","Probleme mit dem Video","Video issues","Video-ongelmia","Ζητήματα βίντεο","Problemas de vídeo","مشاكل الفيديو","Görüntü sorunları","Problemas de video.","Videoproblemen","Problèmes vidéo","Video problémák","Beeldproblemen"
"r312a2f-r312a2f_o4e6af6-c","<p>App freezing</p>","zamrznutí aplikace","Appen frøs","Зависание приложения","Gel de l’application","Appen frös","Blocage de l’application","L’application plante","קפיאה של האפליקציה","Bloqueo de la aplicación","앱중단","programėlės užstrigimu;","App freezing","Aplikacja zawiesza się","Absturz der App","App freezing","Appen frös","Congelamento dell’app","Absturz der App","App freezing","Sovellus jähmettyi","Πάγωμα της εφαρμογής","Bloqueio da app","تجميد التطبيق","Uygulamanın donması","Bloqueo de la aplicación.","Vastlopen van de app","L’application plante","Alkalmazás lefagyása","Vastlopen van de app"
"r312a2f-r312a2f_zd6732d-c","<p>Connectivity issues</p>","problémy s připojením","Forbindelsesproblemer","Проблемы с подключением","Problèmes de connectivité","Anslutningsproblem","Problèmes de connectivité","Problèmes de connectivité","בעיות בקישוריות","Problemas de conectividad","연결문제","ryšio problemomis;","Connectivity issues","Problemy z połączeniem","Verbindungsprobleme","Connectivity issues","Anslutningsproblem","Problemi di connessione","Verbindungsprobleme","Connectivity issues","Yhteysongelmia","Ζητήματα συνδεσιμότητας","Problemas de conectividade","مشاكل الاتصال","Bağlantı sorunları","Problemas de conectividad.","Verbindingsproblemen","Problèmes de connectivité","Kapcsolódási problémák","Verbindingsproblemen"
"r312a2f-r312a2f_z734932-c","<p>I had to contact the helpdesk</p>","musel(a) jsem kontaktovat zákaznickou linku","Jeg blev nødt til at kontakte helpdesk","Мне приходилось обращаться в службу поддержки","J’ai dû contacter le service d’assistance","Jag var tvungen att kontakta supporten","J’ai dû contacter le service d’assistance","J’ai dû contacter le service d’assistance","צורך ביצירת קשר עם מרכז העזרה","Tuve que ponerme en contacto con el departamento de soporte técnico","지원센터에연락해야했다","turėjau kreiptis į pagalbos skyrių;","I had to contact the helpdesk","Musiałem(-am) kontaktować się z pomocą techniczną","Ich musste das Helpdesk kontaktieren","I had to contact the helpdesk","Jag var tvungen att kontakta supporten","Ho dovuto contattare l’helpdesk","Ich musste das Helpdesk kontaktieren","I had to contact the helpdesk","Minun täytyi ottaa yhteyttä käyttäjätukeen","Χρειάστηκε να επικοινωνήσω με το γραφείο βοήθειας","Tive de contactar o apoio técnico","اضطررت إلى الاتصال بمكتب المساعدة","Yardım masasıyla iletişime geçmek durumunda kaldım","Tuve que ponerme en contacto con el servicio de asistencia técnica.","Ik moest contact opnemen met de helpdesk","J’ai dû contacter le service d’assistance","Kapcsolatba kellett lépnem az ügyfélszolgálattal"," Ik moest contact opnemen met de helpdesk"
"r312a2f-r312a2f_x8b8653-c","<p>No technical issues experienced</p>","neměl(a) jsem žádné technické problémy","Ingen tekniske problemer oplevet","Технических проблем не возникало","Aucun problème technique rencontré","Jag upplevde inga tekniska problem","Pas de problème technique rencontré","Je n’ai rencontré aucun problème technique","לא חוויתי בעיות טכניות","Ningún problema técnico","기술적인문제를경험한적이없다","nesusidūriau su jokiomis techninėmis problemomis.","No technical issues experienced","Nie doświadczyłem(-am) żadnych problemów technicznych","Ich hatte keine technischen Probleme","No technical issues experienced","Jag upplevde inga tekniska problem","Nessun problema tecnicoriscontrato","Ich hatte keine technischen Probleme","No technical issues experienced","Ei teknisiä ongelmia","Δεν αντιμετώπισα τεχνικά ζητήματα","Não tive problemas técnicos","لم أواجه مشكلات فنية","Hiçbir teknik sorun yaşamadım","No tuve problemas técnicos.","Geen technische problemen ondervonden","Je n’ai rencontré aucun problème technique","Nem tapasztaltam technikai problémákat","Geen technische problemen ondervonden"
"add9c59-q","Thank you for completing these questions!","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
